id,observed_on,time_observed_at,scientific_name,common_name,taxon_id
149704358,2023-02-25,2023-02-25 18:37:44 UTC,Branta canadensis,Canada Goose,7089
149704394,2023-02-25,2023-02-25 18:22:06 UTC,Turdus migratorius,American Robin,12727
149727530,2023-02-25,2023-02-25 15:19:24 UTC,Sturnus vulgaris,European Starling,14850
149763757,2023-02-26,2023-02-26 21:13:06 UTC,Branta canadensis,Canada Goose,7089
149781918,2023-02-26,2023-02-26 20:30:27 UTC,Cygnus olor,Mute Swan,6921
149783345,2023-02-16,2023-02-16 20:54:36 UTC,Gavia immer,Common Loon,4626
149784251,2023-01-02,2023-01-02 19:58:13 UTC,Podiceps auritus,Horned Grebe,4209
149833990,2023-02-19,2023-02-19 15:53:53 UTC,Branta canadensis,Canada Goose,7089
149855530,2023-02-26,2023-02-26 19:13:13 UTC,Columba livia domestica,Feral Pigeon,122767
150024687,2023-02-18,2023-02-18 22:48:00 UTC,Scolopax minor,American Woodcock,3936
150030410,2023-03-01,2023-03-01 17:31:23 UTC,Turdus migratorius,American Robin,12727
150030525,2023-03-01,2023-03-01 17:30:14 UTC,Meleagris gallopavo,Wild Turkey,906
150100205,2023-03-02,2023-03-02 17:26:39 UTC,Sitta canadensis,Red-breasted Nuthatch,14823
150171275,2023-03-03,2023-03-03 20:23:00 UTC,Lophodytes cucullatus,Hooded Merganser,7109
150171380,2023-03-03,2023-03-03 21:15:00 UTC,Bubo virginianus,Great Horned Owl,20044
150171664,2023-03-03,2023-03-03 20:26:00 UTC,Cardinalis cardinalis,Northern Cardinal,9083
150171767,2023-03-03,2023-03-03 21:47:00 UTC,Melospiza melodia,Song Sparrow,9100
150171861,2023-03-03,2023-03-03 20:29:00 UTC,Cygnus olor,Mute Swan,6921
150222319,2023-02-27,2023-02-27 18:49:00 UTC,Accipiter cooperii,Cooper's Hawk,5112
150284866,2023-02-21,2023-02-21 13:48:19 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
150284933,2023-02-22,2023-02-22 13:54:07 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
150285003,2023-02-22,2023-02-22 13:54:36 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
150285056,2023-02-27,2023-02-27 13:43:09 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
150285078,2023-02-27,2023-02-27 13:43:58 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
150308832,2023-03-03,2023-03-03 19:11:00 UTC,Meleagris gallopavo,Wild Turkey,906
150308833,2023-03-02,2023-03-02 19:24:00 UTC,Turdus migratorius,American Robin,12727
150308835,2023-03-02,2023-03-02 19:32:00 UTC,Branta canadensis,Canada Goose,7089
150308836,2023-03-02,2023-03-02 19:32:00 UTC,Branta canadensis,Canada Goose,7089
150308837,2023-03-03,2023-03-03 14:01:00 UTC,Branta canadensis,Canada Goose,7089
150308840,2023-03-03,2023-03-03 19:11:00 UTC,Meleagris gallopavo,Wild Turkey,906
150308841,2023-03-03,2023-03-03 20:16:00 UTC,Meleagris gallopavo,Wild Turkey,906
150411167,2023-03-06,2023-03-06 15:14:38 UTC,Melospiza melodia,Song Sparrow,9100
150412714,2023-03-06,2023-03-06 15:37:49 UTC,Branta canadensis,Canada Goose,7089
150434468,2023-03-06,2023-03-06 12:58:59 UTC,Passer domesticus,House Sparrow,13858
150440533,2023-03-06,2023-03-06 16:34:06 UTC,Turdus migratorius,American Robin,12727
150503688,2023-03-07,2023-03-07 14:29:23 UTC,Meleagris gallopavo,Wild Turkey,906
150505631,2023-03-07,2023-03-07 14:22:23 UTC,Buteo jamaicensis,Red-tailed Hawk,5212
150505759,2023-03-07,2023-03-07 14:22:31 UTC,Anas platyrhynchos,Mallard,6930
150505919,2023-03-07,2023-03-07 14:22:34 UTC,Branta canadensis,Canada Goose,7089
150506111,2023-03-07,2023-03-07 14:22:44 UTC,Anser anser domesticus,Domestic Greylag Goose,120479
150518017,2023-03-07,2023-03-07 19:39:52 UTC,Meleagris gallopavo,Wild Turkey,906
150529285,2023-03-07,2023-03-07 12:46:47 UTC,Falco peregrinus,Peregrine Falcon,4647
